ts,brainpool_price,V1 no-import (rerun),V1 with-import (original),"V1 with-import (FIXED, 37.65k - FINAL)","V1 with-import (FIXED, 30k - rejected)",V2 no-import (rerun),V2 with-import (original),V2 with-import (37.65k - superseded),"V2 with-import (FIXED, 30k - FINAL)"
2027-06-04 03:00:00,32.58559417724609,0.0,0.0,0.0,0.0,62.82340660740751,62.82340660740751,62.64951141852346,62.64951141852346
2027-06-04 04:00:00,42.36127090454102,0.0,0.0,0.0,0.0,62.47514567306772,62.47514567306772,62.127943886242775,62.127943886242775
2027-06-04 05:00:00,40.42881011962891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-06-04 06:00:00,27.56978797912598,0.0,0.0,0.0,0.0,-32.70159936980869,-33.260851825852754,-39.17116896549753,-39.17116896549753
2027-06-04 07:00:00,8.0,0.0,0.0,0.0,0.0,-32.70159936980869,-33.260851825852754,-39.17116896549753,-39.17116896549753
2027-06-04 08:00:00,0.0,0.0,0.0,0.0,0.0,-32.70159936980869,-33.260851825852754,-39.17116896549753,-39.17116896549753
2027-06-04 09:00:00,0.0,0.0,0.0,-33.52790847652592,-33.61664421659534,-32.70159936980869,-33.260851825852754,-39.17116896549753,-39.17116896549753
2027-06-04 10:00:00,0.0,-14.98480765085484,-22.645491995524345,-33.52790847652592,-33.61664421659534,-32.70159936980869,-33.260851825852754,-39.17116896549753,-39.17116896549753
2027-06-04 11:00:00,0.0,-14.98480765085484,-22.645491995524345,-33.52790847652592,-33.61664421659534,-32.70159936980869,-33.260851825852754,-39.17116896549753,-39.17116896549753
2027-06-04 12:00:00,0.0,0.0,0.0,-33.52790847652592,-33.61664421659534,-32.70159936980869,-33.260851825852754,-39.17116896549753,-39.17116896549753
2027-06-04 13:00:00,0.0,0.0,0.0,-33.52790847652592,-33.61664421659534,-32.70159936980869,-33.260851825852754,-39.17116896549753,-39.17116896549753
2027-06-04 14:00:00,0.0,0.0,0.0,-7.2,-7.2,-32.70159936980869,-33.260851825852754,-39.17116896549753,-39.17116896549753
2027-06-04 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-06-04 16:00:00,11.0,57.64902475105279,34.5,34.5,34.5,0.0,0.0,0.0,0.0
2027-06-04 17:00:00,36.51634216308594,77.32374587971435,77.32374587971435,77.32374587971435,77.32374587971435,64.91111035416037,64.91111035416037,66.1418347593578,65.78958165105881
2027-06-04 18:00:00,59.72847747802734,153.2366006238498,83.88282942714439,83.5,83.5,70.76690947621583,70.76690947621583,70.76690947621583,71.12640395735626
2027-06-04 19:00:00,67.12284088134766,3000.0,140.52868375623717,90.57,90.57,70.40733798702571,70.40733798702571,70.40733798702571,70.40733798702571
2027-06-04 20:00:00,63.90359878540039,3000.0,144.40090807911653,92.38,92.38,69.69041220073836,69.69041220073836,69.69041220073836,69.69041220073836
2027-06-04 21:00:00,61.91262435913086,3000.0,140.18666265742775,97.3,97.3,68.79737917442048,68.79737917442048,68.79737917442048,68.79737917442048
2027-06-04 22:00:00,48.25373840332031,3000.0,88.49474453860628,86.98,86.98,66.84482711457248,66.84482711457248,66.84482711457248,66.84482711457248
2027-06-04 23:00:00,36.51634216308594,80.66930867233162,78.71,78.71,78.71,66.31454444672916,66.31454444672916,66.31454444672916,66.31454444672916
2027-06-05 00:00:00,32.33779525756836,70.58367634601404,70.58367634601404,70.58367634601404,70.58367634601404,65.6094528185718,65.6094528185718,65.6094528185718,65.6094528185718
2027-06-05 01:00:00,32.33779525756836,58.65212561942506,58.65212561942506,58.65212561942506,58.65212561942506,66.13703458887775,66.13703458887775,66.13703458887775,66.13703458887775
2027-06-05 02:00:00,32.33779525756836,0.0,0.0,0.0,0.0,65.9602510167388,63.64,63.64,63.64
2027-06-05 03:00:00,32.33779525756836,0.0,0.0,0.0,0.0,67.01862492359477,63.9,63.9,63.9
2027-06-05 04:00:00,32.33779525756836,28.686217555555416,28.686217555555416,28.686217555555416,28.686217555555416,67.90396819259853,67.90396819259853,66.48797337663827,66.48797337663827
2027-06-05 05:00:00,26.81199645996094,0.0,0.0,0.0,0.0,66.31094090549666,66.31094090549666,66.31094090549666,66.31094090549666
2027-06-05 06:00:00,19.02786827087402,0.0,0.0,-33.52790847652592,-33.61664421659534,57.640997051447926,57.640997051447926,57.640997051447926,57.640997051447926
2027-06-05 07:00:00,8.649030685424805,-14.98480765085484,-22.645491995524345,-33.52790847652592,-33.61664421659534,0.0,0.0,0.0,0.0
2027-06-05 08:00:00,0.0,0.0,0.0,-33.52790847652592,-33.61664421659534,-32.70159936980869,-33.260851825852754,-39.17116896549753,-39.17116896549753
2027-06-05 09:00:00,0.0,0.0,0.0,0.0,0.0,-32.70159936980869,-33.260851825852754,-39.17116896549753,-39.17116896549753
2027-06-05 10:00:00,0.0,0.0,0.0,0.0,-33.61664421659534,-32.70159936980869,-33.260851825852754,-39.17116896549753,-39.17116896549753
2027-06-05 11:00:00,0.0,0.0,0.0,0.0,0.0,-32.70159936980869,-33.260851825852754,-39.17116896549753,-39.17116896549753
2027-06-05 12:00:00,0.0,31.913095711082114,31.913095711082114,28.686217555555416,0.0,-32.70159936980869,-33.260851825852754,-39.17116896549753,-39.17116896549753
2027-06-05 13:00:00,0.0,58.32000316988928,58.32000316988928,58.32000316988928,58.32000316988928,-32.70159936980869,-33.260851825852754,-39.17116896549753,-39.17116896549753
2027-06-05 14:00:00,7.575757503509521,62.10797813997793,62.10797813997793,62.10797813997793,62.10797813997793,-32.70159936980869,-33.260851825852754,-39.17116896549753,-39.17116896549753
2027-06-05 15:00:00,19.02786827087402,78.79212168569661,75.92,75.92,75.92,59.51837205594661,59.51837205594661,59.51837205594661,59.51837205594661
